auxin,arr,al,pin,pina,pinb,pinl,pinm,k1,k2,k3,k4,k5,k6,k_s,k_d,arr_hist,growing,circ_mod,vertices,neighbors
1725.42,0,1,0.375,0.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[0,1,2,3]","[c1,c2,c6]"
1725.42,0,1,0.375,0.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[1,4,2,5]","[c0,c3,c7]"
1464.71,0,1,0.375,0.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[7,0,6,3]","[c0,c8,c4]"
1464.71,0,1,0.375,0.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[4,8,5,9]","[c1,c5,c9]"
904.3,0,1,0.625,1.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[7,6,10,11]","[c2,c16,c10]"
904.3,0,1,0.625,1.5,0,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[9,8,13,12]","[c3,c19,c11]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[3,2,14,15]","[c0,c13,c8,c7]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[2,5,15,16]","[c1,c14,c6,c9]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[6,3,17,14]","[c2,c12,c10,c6]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[5,9,16,18]","[c3,c15,c7,c11]"
900,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[6,17,11,19]","[c4,c17,c20,c8]"
900,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[18,9,20,13]","[c5,c18,c9,c25]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[22,17,14,21]","[c8,c21,c17,c13]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[14,15,22,23]","[c6,c22,c12,c14]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[15,16,23,24]","[c7,c23,c13,c15]"
900,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[16,18,24,25]","[c9,c24,c14,c18]"
583.67,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[10,11,26,27]","[c4,c36,c20]"
771.43,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[19,17,28,21]","[c10,c26,c20,c12]"
771.43,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[18,20,25,29]","[c11,c27,c15,c25]"
583.67,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[13,12,30,31]","[c5,c37,c25]"
410.64,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[11,32,27,33]","[c10,c17,c26,c36,c16,c34]"
448.39,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[21,22,34,35]","[c12,c29,c26,c22]"
507.14,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[22,23,35,36]","[c13,c30,c21,c23]"
507.14,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[23,24,36,37]","[c14,c31,c22,c24]"
448.39,0,1,0.8125,0.75,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[24,25,37,38]","[c15,c32,c23,c27]"
410.64,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[39,13,40,30]","[c27,c18,c11,c37,c35,c19]"
400,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[28,21,32,34]","[c17,c28,c20,c21]"
400,0,1,0.4,1.5,0,0.05,0.05,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[25,29,38,39]","[c18,c33,c24,c25]"
400,0,1,0.675,0.5,0.5,1,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[32,34,41,42]","[c26,c38,c34,c29]"
400,0,1,0.9375,1,1,0.75,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[34,35,42,43]","[c21,c39,c28,c30]"
400,0,1,0.875,0.75,1,0.75,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[35,36,43,44]","[c22,c40,c29,c31]"
400,0,1,0.875,0.75,1,0.75,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[36,37,44,45]","[c23,c41,c30,c32]"
400,0,1,0.9375,1,1,0.75,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[37,38,45,46]","[c24,c42,c31,c33]"
400,0,1,0.675,0.5,0.5,1,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[38,39,46,47]","[c27,c43,c32,c35]"
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[32,41,33,48]","[c28,c48,c20,c44]"
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[47,39,49,40]","[c33,c49,c45,c25]"
400,0,1,0.8375,3,0,0.05,0.3,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[26,33,50,51]","[c16,c20,c48]"
400,0,1,0.8375,3,0,0.05,0.3,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[40,31,52,53]","[c25,c19,c49]"
400,0,1,0.625,0.5,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[41,42,54,55]","[c28,c46,c44,c39]"
400,0,1,0.875,1,1,0.5,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[42,43,56,57]","[c29,c54,c38,c46,c40]"
400,0,1,0.125,0,0.5,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[43,44,57,58]","[c30,c55,c39,c41]"
400,0,1,0.125,0,0.5,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[44,45,58,59]","[c31,c56,c40,c42]"
400,0,1,0.875,1,1,0.5,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[45,46,59,60]","[c32,c57,c41,c43,c47]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[46,47,61,62]","[c33,c47,c42,c45]"
400,0,1,0.5,0,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[41,54,48,63]","[c38,c52,c34,c50]"
400,0,1,0.5,0,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[62,47,64,49]","[c43,c59,c51,c35]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[54,55,65,56]","[c38,c53,c50,c39]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[61,62,60,66]","[c43,c58,c42,c51]"
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[33,48,51,67]","[c34,c36,c52]"
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[49,40,68,52]","[c35,c59,c37]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[54,65,69,70]","[c46,c44,c52,c53]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[66,62,71,72]","[c47,c58,c45,c59]"
400,0,1,0.25,0,1,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[48,63,67,69]","[c44,c48,c50]"
400,0,1,0.6,0,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[65,56,70,73]","[c46,c50,c54]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[56,57,73,74]","[c39,c53,c55]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[57,58,74,75]","[c40,c54,c56]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[58,59,75,76]","[c41,c55,c57]"
400,0,1,0.625,0,1,0.75,0.75,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[59,60,76,77]","[c56,c42,c58]"
400,0,1,0.6,0,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[60,66,77,71]","[c47,c57,c51]"
400,0,1,0.25,0,1,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[64,49,72,68]","[c45,c51,c49]"